X,Y,Y'
32.1,-3.7726,9.15947
32.2,-2.85665,10.5853
32.3,-1.79812,11.6163
32.4,-0.636493,12.2032
32.5,0.583827,12.3137
32.6,1.8152,11.9339
32.7,3.00859,11.0692
32.8,4.11551,9.74435
32.9,5.08994,8.00326
33,5.89027,5.90721
33.1,6.48099,3.53296
33.2,6.83429,0.969906
33.3,6.93128,-1.68321
33.4,6.76296,-4.32205
33.5,6.33075,-6.84079
33.6,5.64667,-9.13628
33.7,4.73304,-11.1122
33.8,3.62182,-12.6832
33.9,2.3535,-13.7783
34,0.975676,-14.3441
34.1,-0.458734,-14.3475
34.2,-1.89348,-13.777
34.3,-3.27119,-12.6441
34.4,-4.5356,-10.9828
34.5,-5.63387,-8.84886
34.6,-6.51876,-6.31833
34.7,-7.15059,-3.48446
34.8,-7.49904,-0.454536
34.9,-7.54449,2.65417
35,-7.27907,5.71888
35.1,-6.70719,8.61613
35.2,-5.84557,11.2267
35.3,-4.7229,13.4404
35.4,-3.37887,15.1607
35.5,-1.86279,16.3091
35.6,-0.231885,16.828
35.7,1.45091,16.6842
35.8,3.11933,15.8701
35.9,4.70635,14.405
36,6.14685,12.3344
36.1,7.38029,9.72894
36.2,8.35318,6.68225
36.3,9.02141,3.30733
36.4,9.35214,-0.267378
36.5,9.3254,-3.90289
36.6,8.93511,-7.45499
36.7,8.18961,-10.7799
36.8,7.11162,-13.7402
36.9,5.7376,-16.21
37,4.1166,-18.0809
37.1,2.30851,-19.2659
37.2,0.381924,-19.704
37.3,-1.58847,-19.3627
37.4,-3.52474,-18.24
37.5,-5.34874,-16.3653
37.6,-6.98527,-13.7985
37.7,-8.36513,-10.6284
37.8,-9.42797,-6.96982
37.9,-10.125,-2.95924
38,-10.4209,1.24993
38.1,-10.2959,5.49328
38.2,-9.74656,9.60177
38.3,-8.78638,13.4084
38.4,-7.44554,16.7547
38.5,-5.77007,19.4979
38.6,-3.82028,21.5159
38.7,-1.66869,22.7137
38.8,0.602683,23.0269
38.9,2.90538,22.4253
39,5.14791,20.9147
39.1,7.23937,18.5372
39.2,9.09309,15.3707
39.3,10.6302,11.5261
39.4,11.7828,7.14347
39.5,12.4971,2.38749
39.6,12.7359,-2.5591
39.7,12.48,-7.50227
39.8,11.7297,-12.2442
39.9,10.5053,-16.5912
40,8.84619,-20.3615
40.1,6.81004,-23.3928
40.2,4.47076,-25.5489
40.3,1.91587,-26.7262
40.4,-0.756755,-26.8581
40.5,-3.44256,-25.9182
40.6,-6.03438,-23.9228
40.7,-8.42666,-20.9306
40.8,-10.5197,-17.0413
40.9,-12.2239,-12.3926
41,-13.4631,-7.15522
41.1,-14.1786,-1.52687
41.2,-14.3313,4.27513
41.3,-13.9038,10.0222
41.4,-12.9016,15.4832
41.5,-11.3533,20.4342
41.6,-9.30985,24.6668
41.7,-6.84317,27.9974
41.8,-4.04343,30.2748
41.9,-1.01595,31.3866
42,2.12271,31.2653
42.1,5.24924,29.8909
42.2,8.23833,27.2934
42.3,10.9677,23.5522
42.4,13.3229,18.7941
42.5,15.2023,13.189
42.6,16.5212,6.94433
42.7,17.2156,0.296966
42.8,17.2453,-6.49523
42.9,16.5958,-13.1635
43,15.2795,-19.4385
43.1,13.3356,-25.0615
43.2,10.8295,-29.7945
43.3,7.85,-33.4304
43.4,4.50696,-35.8018
43.5,0.92678,-36.7886
43.6,-2.75208,-36.3235
43.7,-6.38443,-34.3962
43.8,-9.82405,-31.0545
43.9,-12.9295,-26.4038
44,-15.5699,-20.6039
44.1,-17.6303,-13.8639
44.2,-19.0167,-6.43451
44.3,-19.6601,1.40085
44.4,-19.52,9.33687
44.5,-18.5863,17.0581
44.6,-16.8805,24.2515
44.7,-14.4554,30.6187
44.8,-11.3935,35.8885
44.9,-7.80466,39.8281
45,-3.82184,42.2534
45.1,0.403496,43.0371
45.2,4.7072,42.1149
45.3,8.9187,39.4898
45.4,12.8677,35.2325
45.5,16.3909,29.4808
45.6,19.339,22.4348
45.7,21.5825,14.3505
45.8,23.0175,5.53049
45.9,23.5706,-3.68713
46,23.2019,-12.9416
46.1,21.9077,-21.8635
46.2,19.7213,-30.0893
46.3,16.7124,-37.2761
46.4,12.9848,-43.1155
46.5,8.67325,-47.3471
46.6,3.93853,-49.7695
46.7,-1.03842,-50.2495
46.8,-6.06337,-48.7292
46.9,-10.9363,-45.2292
47,-15.4592,-39.8501
47.1,-19.4442,-32.7695
47.2,-22.7212,-24.2364
47.3,-25.1448,-14.5632
47.4,-26.6011,-4.11399
47.5,-27.0125,6.70874
47.6,-26.3416,17.4796
47.7,-24.5937,27.7666
47.8,-21.817,37.1488
47.9,-18.1021,45.2326
48,-13.5789,51.6688
48.1,-8.412,56.167
48.2,-2.7953,58.5085
48.3,3.05554,58.5564
48.4,8.91118,56.2631
48.5,14.5375,51.6733
48.6,19.7048,44.9249
48.7,24.1973,36.2444
48.8,27.8218,25.9406
48.9,30.4158,14.3931
49,31.8551,2.03893
49.1,32.059,-10.6439
49.2,30.9946,-23.1546
49.3,28.6792,-34.9894
49.4,25.1802,-45.6613
49.5,20.6141,-54.7201
49.6,15.1421,-61.7714
49.7,8.96495,-66.4928
49.8,2.31567,-68.6489
49.9,-4.54922,-68.1022
50,-11.3594,-64.8205
50.1,-17.8415,-58.8803
50.2,-23.7295,-50.4661
50.3,-28.7761,-39.865
50.4,-32.7626,-27.4572
50.5,-35.5083,-13.703
50.6,-36.8786,0.87438
50.7,-36.7912,15.7083
50.8,-35.2204,30.2107
50.9,-32.1993,43.7946
51,-27.8198,55.8984
51.1,-22.23,66.0084
51.2,-15.6292,73.6802
51.3,-8.26114,78.5583
51.4,-0.405309,80.3916
51.5,7.63385,79.0459
51.6,15.5384,74.5114
51.7,22.9896,66.9058
51.8,29.6802,56.4719
51.9,35.3273,43.5704
52,39.6844,28.668
52.1,42.5512,12.3209
52.2,43.7833,-4.84599
52.3,43.2987,-22.1624
52.4,41.0824,-38.9386
52.5,37.1886,-54.4928
52.6,31.7393,-68.1784
52.7,24.9215,-79.4105
52.8,16.9804,-87.6909
52.9,8.21132,-92.6292
53,-1.05161,-93.9612
53.1,-10.4477,-91.5613
53.2,-19.6039,-85.451
53.3,-28.149,-75.8004
53.4,-35.729,-62.9248
53.5,-42.0215,-47.2748
53.6,-46.749,-29.4207
53.7,-49.691,-10.0327
53.8,-50.6943,10.1444
53.9,-49.6799,30.3192
54,-46.6479,49.6848
54.1,-41.6795,67.4503
54.2,-34.9344,82.873
54.3,-26.6471,95.2894
54.4,-17.1182,104.142
54.5,-6.70394,109.007
54.6,4.19674,109.608
54.7,15.1576,105.837
54.8,25.7413,97.7576
54.9,35.5171,85.606
55,44.0777,69.787
55.1,51.0564,50.8602
55.2,56.1424,29.5205
55.3,59.0944,6.57309
55.4,59.7517,-17.0961
55.5,58.0421,-40.5549
55.6,53.9866,-62.8607
55.7,47.7006,-83.0981
55.8,39.3908,-100.416
55.9,29.3491,-114.064
56,17.9427,-123.423
56.1,5.60041,-128.031
56.2,-7.20272,-127.611
56.3,-19.9638,-122.078
56.4,-32.1716,-111.551
56.5,-43.3266,-96.3509
56.6,-52.9617,-76.9932
56.7,-60.661,-54.1687
56.8,-66.0779,-28.7209
56.9,-68.95,-1.6153
57,-69.1115,26.097
57.1,-66.5018,53.3197
57.2,-61.1698,78.954
57.3,-53.2744,101.943
57.4,-43.0802,121.314
57.5,-30.9488,136.22
57.6,-17.3268,145.975
57.7,-2.72936,150.086
57.8,12.2792,148.276
57.9,27.1068,140.499
58,41.1567,126.946
58.1,53.8513,108.044
58.2,64.6557,84.443
58.3,73.1,56.9919
58.4,78.7992,26.712
58.5,81.4704,-5.24193
58.6,80.9462,-37.6253
58.7,77.1837,-69.1513
58.8,70.2686,-98.5417
58.9,60.4144,-124.578
59,47.9566,-146.153
59.1,33.3413,-162.312
59.2,17.1101,-172.302
59.3,-0.120118,-175.6
59.4,-17.6802,-171.94
59.5,-34.8742,-161.329
59.6,-51.0071,-144.053
59.7,-65.4125,-120.669
59.8,-77.4794,-91.9909
59.9,-86.6785,-59.0593
60,-92.5844,-23.1068
60.1,-94.8951,14.4891
60.2,-93.4462,52.2574
60.3,-88.2204,88.6907
60.4,-79.3514,122.305
60.5,-67.1209,151.7
60.6,-51.9509,175.614
60.7,-34.3895,192.982
60.8,-15.0913,202.978
60.9,5.20649,205.055
61,25.712,198.971
61.1,45.6091,184.807
61.2,64.0899,162.967
61.3,80.3866,134.172
61.4,93.8038,99.434
61.5,103.747,60.0238
61.6,109.75,17.4244
61.7,111.492,-26.7239
61.8,108.82,-70.6862
61.9,101.751,-112.7
62,90.481,-151.047
62.1,75.3763,-184.118
62.2,56.9645,-210.486
62.3,35.9159,-228.962
62.4,13.0196,-238.65
62.5,-10.8453,-238.984
62.6,-34.7438,-229.767
62.7,-57.7204,-211.174
62.8,-78.8378,-183.762
62.9,-97.214,-148.452
63,-112.059,-106.497
63.1,-122.709,-59.4434
63.2,-128.653,-9.07102
63.3,-129.56,42.6717
63.4,-125.293,93.7424
63.5,-115.919,142.085
63.6,-101.71,185.711
63.7,-83.1394,222.781
63.8,-60.8613,251.681
63.9,-35.6932,271.092
64,-8.58406,280.047
64.1,19.4206,277.98
64.2,47.2186,264.752
64.3,73.6938,240.669
64.4,97.7608,206.479
64.5,118.409,163.345
64.6,134.743,112.814
64.7,146.025,56.7608
64.8,151.701,-2.68423
64.9,151.432,-63.2108
65,145.111,-122.419
65.1,132.869,-177.915
65.2,115.078,-227.405
65.3,92.3371,-268.788
65.4,65.4583,-300.247
65.5,35.4337,-320.325
65.6,3.40113,-327.992
65.7,-29.3981,-322.693
65.8,-61.6674,-304.38
65.9,-92.1054,-273.525
66,-119.458,-231.113
66.1,-142.569,-178.607
66.2,-160.43,-117.907
66.3,-172.221,-51.2773
66.4,-177.348,18.7365
66.5,-175.475,89.4011
66.6,-166.535,157.903
66.7,-150.744,221.459
